Player,Team,POS,ADP,FPTS,PosRank,Rank
Sean Tucker,TB,RB,216.3,37.6,75,233.0
DJ Chark Jr.,CAR,WR,182.3,94.9,73,176.0
Rashod Bateman,BAL,WR,112.8,79.1,49,112.0
Russell Wilson,DEN,QB,128.3,282.5,18,126.0
C.J. Beathard,JAC,QB,,18.2,,
Todd Gurley II,,RB,313.0,,100,360.0
Trent Taylor,CHI,WR,,3.4,,
Kylen Granson,IND,TE,290.0,30.3,49,341.0
Bryce Young,CAR,QB,174.5,237.7,25,172.0
Deneric Prince,KC,RB,371.0,15.2,93,337.0
Chris Olave,NO,WR,21.3,150.3,12,21.0
Malik Davis,DAL,RB,320.5,22.5,92,325.0
Amon-Ra St. Brown,DET,WR,13.8,161.3,8,14.0
Ty Johnson,BUF,RB,,13.0,,
Payne Durham,TB,TE,,14.7,,
Kenneth Walker III,SEA,RB,47.5,174.3,16,47.0
Parris Campbell,NYG,WR,193.0,60.8,77,189.0
Irvin Charles,NYJ,WR,,3.6,,
Peyton Hendershot,DAL,TE,389.5,18.1,67,423.0
Corey Clement,ARI,RB,447.0,20.6,128,487.0
Mo Alie-Cox,IND,TE,373.5,28.1,56,371.0
Danny Gray,SF,WR,,5.5,,
Tanner Conner,MIA,WR,,3.6,,
Quentin Johnston,LAC,WR,105.3,88.9,47,105.0
PJ Walker,CLE,QB,,4.8,,
Cam Sims,NYG,WR,,10.4,,
Josiah Deguara,GB,TE,,23.4,,
Dalvin Cook,NYJ,RB,81.5,132.0,30,82.0
Cameron Latu,SF,TE,,7.8,,
DK Metcalf,SEA,WR,30.5,145.6,16,29.0
Deshaun Watson,CLE,QB,85.0,311.8,9,86.0
Britain Covey,PHI,WR,,18.7,,
Shane Zylstra,DET,TE,,7.8,,
Leonard Fournette,,RB,221.5,,70,221.0
Gabe Davis,BUF,WR,78.8,121.1,36,79.0
Jauan Jennings,SF,WR,265.0,34.9,123,324.0
New Orleans Saints,DST,DST,198.0,106.3,9,287.0
AJ Dillon,GB,RB,97.8,133.0,35,98.0
Kyle Pitts,ATL,TE,75.5,102.6,6,74.0
Michael Gallup,DAL,WR,160.5,93.5,67,161.0
Erik Ezukanma,MIA,WR,465.0,12.1,183,502.0
Will Mallory,IND,TE,342.0,13.8,63,390.0
Jason Sanders,MIA,K,,114.8,,
C.J. Stroud,HOU,QB,193.5,227.4,29,190.0
Jaelon Darden,CLE,WR,,2.5,,
Trent Sherfield,BUF,WR,290.7,31.5,113,271.0
Geoff Swaim,ARI,TE,,14.6,,
Cole Kmet,CHI,TE,147.3,77.0,17,148.0
Tennessee Titans,DST,DST,261.0,98.9,25,321.0
Lawrence Cager,NYG,WR,,20.1,,
Los Angeles Rams,DST,DST,282.0,98.0,29,335.0
Stone Smartt,LAC,TE,,11.5,,
Jimmy Garoppolo,LV,QB,189.5,234.6,27,185.0
Melvin Gordon III,BAL,RB,333.0,26.7,95,343.0
Jerry Jeudy,DEN,WR,66.3,124.5,32,68.0
Brayden Lenius,,TE,390.0,,74,441.0
Tyler Badie,DEN,RB,,19.2,,
Johnny Mundt,MIN,TE,,11.0,,
Jake Haener,NO,QB,,3.8,,
Javonte Williams,DEN,RB,59.5,144.2,21,61.0
Mitchell Tinsley,WAS,WR,,3.6,,
Tank Dell,HOU,WR,196.8,52.2,79,197.0
Chase McLaughlin,TB,K,,103.6,,
Ryan Tannehill,TEN,QB,192.8,223.1,28,188.0
Tanner Hudson,CIN,TE,,11.4,,
Tee Higgins,CIN,WR,28.5,148.6,15,27.0
Courtland Sutton,DEN,WR,86.3,110.5,40,87.0
Jason Cabinda,DET,LB,,8.2,,
Amari Cooper,CLE,WR,36.3,146.4,19,37.0
Davante Adams,LV,WR,16.3,179.8,10,17.0
Isaiah Hodgins,NYG,WR,185.8,74.3,74,179.0
Logan Thomas,WAS,TE,254.8,52.7,35,232.0
Josh Reynolds,DET,WR,247.7,55.2,97,239.0
K.J. Osborn,MIN,WR,152.0,83.3,62,150.0
Will Grier,CIN,QB,462.0,,68,499.0
Randall Cobb,NYJ,WR,268.3,46.1,105,253.0
Zach Ertz,ARI,TE,218.8,57.3,31,217.0
Donovan Peoples-Jones,CLE,WR,158.8,81.3,65,157.0
San Francisco 49ers,DST,DST,156.0,108.2,1,275.0
Tucker Kraft,GB,TE,353.5,22.6,59,380.0
Hunter Long,LAR,TE,,16.6,,
Kirk Cousins,MIN,QB,103.0,300.9,13,102.0
Andy Isabella,BUF,WR,,4.7,,
Teagan Quitoriano,HOU,TE,,22.1,,
Keith Kirkwood,NO,WR,,11.7,,
Darnell Mooney,CHI,WR,144.3,92.0,61,145.0
Elijah Dotson,LAC,RB,362.0,11.3,113,414.0
Quez Watkins,PHI,WR,281.3,36.9,109,263.0
Jack Stoll,PHI,TE,,12.7,,
Jakobi Meyers,LV,WR,130.3,97.4,54,129.0
Jarrett Stidham,DEN,QB,433.0,21.0,60,476.0
Le'Veon Bell,,RB,394.0,,118,444.0
Kyle Philips,TEN,WR,409.0,26.8,169,456.0
Drew Lock,SEA,QB,348.0,17.5,51,393.0
Patrick Taylor Jr.,GB,RB,452.0,6.6,129,492.0
Jake Elliott,PHI,K,,118.5,,
Aidan O'Connell,LV,QB,302.5,14.8,38,310.0
Michael Badgley,DET,K,,108.4,,
Keaontay Ingram,ARI,RB,240.0,56.2,72,229.0
Israel Abanikanda,NYJ,RB,295.0,19.3,88,298.0
New York Giants,DST,DST,250.0,99.0,23,318.0
Colby Parkinson,SEA,TE,416.0,23.0,78,463.0
Parker Washington,JAC,WR,,16.3,,
Dorian Thompson-Robinson,CLE,QB,327.0,16.8,46,373.0
Justin Watson,KC,WR,276.0,22.5,116,281.0
Logan Woodside,ATL,QB,,5.9,,
Bailey Zappe,NE,QB,344.0,32.4,50,392.0
Derrick Henry,TEN,RB,20.5,226.2,7,20.0
Terrace Marshall Jr.,CAR,WR,245.0,48.5,96,238.0
Darnell Washington,PIT,TE,290.5,22.1,43,291.0
Garrett Wilson,NYJ,WR,14.8,157.5,9,15.0
Ja'Marr Chase,CIN,WR,2.3,202.1,2,2.0
Josh Allen,BUF,QB,23.8,381.6,3,25.0
Jalen Reagor,NE,WR,,8.4,,
Derius Davis,LAC,WR,318.0,16.0,136,365.0
Chris Moore,TEN,WR,374.0,26.6,156,427.0
Jared Goff,DET,QB,117.0,279.5,16,117.0
Samaje Perine,DEN,RB,112.3,120.6,38,111.0
Godwin Igwebuike,ATL,RB,,7.4,,
Josh Doctson,,WR,360.0,,149,409.0
Adam Thielen,CAR,WR,141.0,88.9,59,141.0
Tutu Atwell,LAR,WR,257.0,48.0,103,249.0
Travis Vokolek,BAL,TE,350.0,,64,395.0
Jerick McKinnon,KC,RB,120.8,83.3,40,119.0
Gerald Everett,LAC,TE,153.3,74.2,18,152.0
Ashton Dulin,IND,WR,,8.7,,
Alexander Mattison,MIN,RB,58.3,172.5,20,60.0
Alex Bachman,HOU,WR,,4.8,,
Zonovan Knight,DET,RB,,26.7,,
Nick Vannett,LAC,TE,,6.5,,
Rhamondre Stevenson,NE,RB,31.5,176.1,9,30.0
Easton Stick,LAC,QB,,18.7,,
Christian Watson,GB,WR,45.0,147.4,21,42.0
Kyle Trask,TB,QB,326.5,63.1,42,332.0
Jeff Wilson Jr.,MIA,RB,180.3,76.0,56,175.0
Reggie Gilliam,BUF,RB,,10.6,,
Jonathan Taylor,IND,RB,51.3,150.8,18,52.0
Arizona Cardinals,DST,DST,340.0,95.2,32,387.0
Colt McCoy,,QB,268.0,,40,326.0
Colton Dowell,TEN,WR,,3.1,,
Stefon Diggs,BUF,WR,8.5,178.9,4,8.0
Adam Prentice,NO,RB,,4.5,,
Baltimore Ravens,DST,DST,190.0,101.9,8,285.0
Jalen Tolbert,DAL,WR,285.0,18.9,117,286.0
Ty Chandler,MIN,RB,196.0,61.0,63,194.0
Mike Strachan,IND,WR,,3.5,,
Jordan Mason,SF,RB,291.5,32.8,86,292.0
Skylar Thompson,MIA,QB,354.0,5.9,54,401.0
Jalen Nailor,MIN,WR,383.0,15.0,160,434.0
Tony Jones Jr.,NO,RB,,5.0,,
Boston Scott,PHI,RB,319.5,23.7,91,322.0
Kenny McIntosh,SEA,RB,348.5,16.2,101,364.0
Zamir White,LV,RB,195.3,36.9,62,192.0
Chris Boswell,PIT,K,,113.3,,
Kenny Pickett,PIT,QB,135.5,253.3,19,134.0
Marcus Mariota,PHI,QB,356.5,24.0,48,383.0
Aaron Rodgers,NYJ,QB,117.0,282.7,17,118.0
Ian Thomas,CAR,TE,,20.9,,
Keaton Mitchell,BAL,RB,428.0,13.0,126,472.0
Mike Boone,HOU,RB,351.0,22.7,107,396.0
Isiah Pacheco,KC,RB,84.5,156.6,31,85.0
KhaDarel Hodge,ATL,WR,375.0,24.5,157,428.0
Evan Engram,JAC,TE,95.5,87.5,8,94.0
Ross Dwelley,SF,TE,382.0,13.9,70,433.0
Jaylen Warren,PIT,RB,111.3,91.6,37,110.0
Indianapolis Colts,DST,DST,235.0,105.0,20,314.0
Luke Stocker,,TE,388.0,,73,439.0
Simi Fehoko,,WR,395.0,,163,445.0
Jaleel McLaughlin,DEN,RB,293.5,33.4,87,296.0
River Cracraft,MIA,WR,,15.2,,
Brandon Powell,MIN,WR,,16.5,,
Allen Robinson II,PIT,WR,230.0,62.2,93,235.0
Allen Lazard,NYJ,WR,130.3,98.2,55,130.0
Joe Burrow,CIN,QB,42.3,350.5,5,40.0
Zander Horvath,PIT,RB,,1.2,,
Kendrick Bourne,NE,WR,255.0,76.4,102,246.0
Tyjae Spears,TEN,RB,154.5,68.3,51,154.0
CJ Verdell,,RB,356.0,,109,405.0
Marquez Valdes-Scantling,KC,WR,163.3,91.4,68,162.0
Trevor Lawrence,JAC,QB,58.0,300.6,8,58.0
Cameron Dicker,LAC,K,,120.6,,
Joseph Ngata,PHI,WR,,3.3,,
JuJu Smith-Schuster,NE,WR,114.0,102.5,50,113.0
D'Ernest Johnson,JAC,RB,339.0,19.1,98,354.0
Steven Sims Jr.,HOU,WR,,11.2,,
Ty Montgomery II,NE,RB,389.0,13.7,117,440.0
Ke'Shawn Vaughn,TB,RB,411.0,32.9,122,458.0
Brevin Jordan,HOU,TE,,19.5,,
Minnesota Vikings,DST,DST,276.0,102.5,26,331.0
Tre'Quan Smith,NO,WR,414.0,16.0,170,461.0
Tyler Boyd,CIN,WR,133.0,95.2,56,131.0
David Moore,TB,WR,,3.4,,
DeVante Parker,NE,WR,205.8,89.8,82,204.0
Jack Colletto,SF,RB,,3.9,,
Velus Jones Jr.,CHI,WR,443.0,17.3,176,484.0
Tyson Bagent,CHI,QB,,16.8,,
Tommy Sweeney,NYG,TE,,6.0,,
A.J. Brown,PHI,WR,11.8,172.0,6,11.0
Gary Jennings Jr.,,WR,448.0,,178,488.0
Buffalo Bills,DST,DST,180.0,105.1,5,282.0
Rico Dowdle,DAL,RB,241.0,36.0,73,230.0
Albert Okwuegbunam,PHI,TE,294.5,16.8,44,297.0
Brett Maher,LAR,K,,109.0,,
Brock Wright,DET,TE,422.0,29.7,81,467.0
Jonathan Mingo,CAR,WR,165.3,87.6,69,164.0
Demetric Felton Jr.,CIN,RB,,8.9,,
Tylan Wallace,BAL,WR,,3.5,,
James Cook,BUF,RB,62.0,148.5,22,63.0
Mike White,MIA,QB,282.7,32.0,34,264.0
Kaden Smith,WAS,TE,400.0,8.5,75,449.0
Giovanni Ricci,CAR,TE,,9.9,,
Dawson Knox,BUF,TE,188.3,62.1,23,182.0
Cole Turner,WAS,TE,255.0,11.3,36,247.0
Dyami Brown,WAS,WR,277.3,34.4,107,260.0
Joshua Kelley,LAC,RB,210.5,65.2,67,208.0
Dak Prescott,DAL,QB,96.3,302.0,11,95.0
Elijah Cooks,JAC,WR,466.0,3.6,184,503.0
Chris Evans,CIN,RB,253.7,27.3,76,244.0
Jaylen Waddle,MIA,WR,20.0,160.9,11,19.0
Chris Brooks,MIA,RB,,5.9,,
Noah Brown,HOU,WR,385.5,33.8,152,418.0
Seth Williams,JAC,WR,,4.1,,
Myles Gaskin,MIN,RB,243.5,34.9,82,270.0
Miles Sanders,CAR,RB,65.3,161.0,23,65.0
David Montgomery,DET,RB,78.5,149.3,28,78.0
Luke Schoonmaker,DAL,TE,275.3,31.9,39,258.0
Jalin Hyatt,NYG,WR,166.3,55.0,70,165.0
Rashaad Penny,PHI,RB,121.5,107.8,41,120.0
Khalil Shakir,BUF,WR,243.7,45.9,94,236.0
Devin Singletary,HOU,RB,164.0,84.2,52,163.0
Cordarrelle Patterson,ATL,RB,218.8,64.4,68,216.0
Bijan Robinson,ATL,RB,8.0,216.0,3,7.0
Will Levis,TEN,QB,307.5,35.8,39,315.0
Pittsburgh Steelers,DST,DST,186.0,108.5,7,284.0
Justin Tucker,BAL,K,,124.2,,
Byron Pringle,WAS,WR,,15.0,,
Kristian Wilkerson,LV,WR,,3.5,,
Emanuel Wilson,GB,RB,,17.2,,
Chigoziem Okonkwo,TEN,TE,143.5,81.9,16,143.0
Brayden Willis,SF,TE,,7.8,,
Emari Demercado,ARI,RB,,30.2,,
Taysom Hill,NO,TE,212.5,56.5,29,211.0
Easop Winston Jr.,SEA,WR,,6.8,,
Calvin Ridley,JAC,WR,25.8,142.6,14,26.0
John Raine,,TE,403.0,,76,452.0
Kameron Brown,,WR,355.0,,145,403.0
Tyler Johnson,LAR,WR,356.0,,146,404.0
C.J. Ham,MIN,RB,,11.0,,
Brandin Cooks,DAL,WR,88.3,113.5,41,88.0
Rachaad White,TB,RB,73.0,151.3,25,71.0
Brock Purdy,SF,QB,153.0,249.6,22,151.0
Michael Wilson,ARI,WR,214.3,52.2,85,212.0
Cody Thompson,SEA,WR,,8.2,,
Ko Kieft,TB,TE,,17.3,,
Julian Hill,MIA,TE,,11.9,,
Kayshon Boutte,NE,WR,299.5,33.7,118,305.0
Keenan Allen,LAC,WR,35.5,135.0,18,36.0
Najee Harris,PIT,RB,34.8,179.4,11,33.0
Younghoe Koo,ATL,K,,119.0,,
Antonio Gibson,WAS,RB,94.0,118.0,33,93.0
Ronnie Rivers,LAR,RB,,8.7,,
John FitzPatrick,ATL,TE,,9.1,,
Jelani Woods,IND,TE,257.7,43.7,37,250.0
Justin Herbert,LAC,QB,46.0,321.5,7,43.0
George Kittle,SF,TE,66.0,113.8,5,67.0
Justyn Ross,KC,WR,211.8,23.4,84,210.0
Chris Rodriguez Jr.,WAS,RB,335.0,29.5,96,346.0
Tyler Lockett,SEA,WR,63.5,125.6,30,64.0
Jordan Love,GB,QB,145.3,252.8,21,146.0
Justin Jefferson,MIN,WR,1.0,206.5,1,1.0
Grant Calcaterra,PHI,TE,,8.2,,
Cam Akers,LAR,RB,69.5,156.4,24,69.0
Matt Prater,ARI,K,,110.0,,
Jared Cook,,TE,329.0,,58,377.0
Jameis Winston,NO,QB,349.5,18.3,45,367.0
Brandon Aiyuk,SF,WR,55.8,125.6,25,53.0
Noah Gray,KC,TE,286.3,31.5,42,269.0
Blake Bell,KC,TE,,18.8,,
Khalil Herbert,CHI,RB,88.5,133.8,32,89.0
Tre' McKitty,LAC,TE,442.0,14.8,84,483.0
Ben Skowronek,LAR,WR,365.0,46.6,151,417.0
Jake Bobo,SEA,WR,299.5,4.8,119,306.0
Deven Thompkins,TB,WR,,28.3,,
Michael Burton,DEN,RB,,4.2,,
Sean McKeon,DAL,TE,,3.6,,
Dustin Hopkins,CLE,K,,116.7,,
Evan Hull,IND,RB,218.8,45.0,69,218.0
Tre Nixon,NE,WR,,18.1,,
Josh Downs,IND,WR,221.5,47.0,89,222.0
Marquez Callaway,LV,WR,339.0,39.3,139,385.0
Brian Robinson Jr.,WAS,RB,96.3,130.8,34,96.0
Wan'Dale Robinson,NYG,WR,223.8,60.1,90,223.0
Jimmy Graham,NO,TE,299.5,20.5,45,304.0
Sam Ehlinger,IND,QB,,1.7,,
Irv Smith Jr.,CIN,TE,170.8,65.3,22,170.0
Cade Johnson,SEA,WR,,23.3,,
Isaiah Likely,BAL,TE,216.5,42.8,30,214.0
Trey Lance,DAL,QB,271.0,18.3,35,277.0
Jaxon Smith-Njigba,SEA,WR,83.0,103.3,39,84.0
Sterling Shepard,NYG,WR,286.3,47.2,112,268.0
Travis Kelce,KC,TE,5.5,182.2,1,6.0
Josh Ali,ATL,WR,424.0,6.6,174,469.0
Blake Whiteheart,ARI,TE,,4.2,,
Kearis Jackson,TEN,WR,,3.6,,
Gardner Minshew II,IND,QB,324.0,38.3,41,330.0
Jake Burt,,TE,361.0,,65,411.0
Brandon Bolden,LV,RB,,19.2,,
Kenny Golladay,,WR,355.0,,144,402.0
Nick Bellore,SEA,LB,,3.1,,
Charlie Jones,CIN,WR,340.0,26.1,140,388.0
Julius Chestnut,TEN,RB,406.0,20.3,120,454.0
Atlanta Falcons,DST,DST,281.0,96.7,28,334.0
Geno Smith,SEA,QB,108.8,296.5,15,107.0
Jacksonville Jaguars,DST,DST,202.0,99.5,10,288.0
Amari Rodgers,IND,WR,,18.1,,
Mike Williams,LAC,WR,47.8,135.4,23,48.0
Aaron Jones,GB,RB,46.8,185.2,15,45.0
Nick Bawden,NYJ,RB,,1.2,,
Sam Darnold,SF,QB,268.7,40.2,33,254.0
Denver Broncos,DST,DST,210.0,98.4,13,295.0
Lamar Jackson,BAL,QB,33.0,351.0,4,32.0
Antoine Green,DET,WR,381.0,8.2,159,432.0
Jason Huntley,IND,RB,,15.7,,
Baker Mayfield,TB,QB,215.5,201.2,32,213.0
Eric Gray,NYG,RB,350.0,29.3,103,368.0
Tom Brady,,QB,351.5,,47,374.0
Brandon McManus,JAC,K,,117.7,,
Andrei Iosivas,CIN,WR,314.5,11.8,121,319.0
Mack Hollins,ATL,WR,244.7,66.7,95,237.0
Ben Sims,GB,TE,,16.6,,
Tyler Kroft,MIA,TE,,13.6,,
Armani Rogers,WAS,TE,,7.0,,
Ka'imi Fairbairn,HOU,K,,111.6,,
Kansas City Chiefs,DST,DST,208.0,104.7,12,293.0
Trey McBride,ARI,TE,224.5,50.1,33,226.0
Deonte Harty,BUF,WR,249.0,38.1,98,240.0
Matt Corral,NE,QB,,15.2,,
New England Patriots,DST,DST,176.0,110.4,4,280.0
Tyler Conklin,NYJ,TE,196.3,57.8,25,195.0
Quintez Cephus,DET,WR,,3.1,,
Noah Fant,SEA,TE,224.3,64.7,32,225.0
Durham Smythe,MIA,TE,285.3,32.9,41,267.0
Patrick Ricard,BAL,RB,288.0,7.3,94,338.0
Hunter Luepke,DAL,RB,440.0,9.4,127,482.0
Ronald Jones II,DAL,RB,351.0,34.2,104,370.0
Connor Heyward,PIT,TE,316.0,18.0,54,362.0
Chris Manhertz,DEN,TE,,10.5,,
Kendre Miller,NO,RB,169.0,66.6,53,167.0
Tyler Higbee,LAR,TE,133.0,76.9,13,132.0
Stanley Morgan Jr.,CIN,WR,,3.9,,
Cade Otton,TB,TE,229.5,61.3,34,227.0
Ray-Ray McCloud III,SF,WR,,12.5,,
Davis Allen,LAR,TE,378.0,14.3,69,430.0
Gunner Olszewski,PIT,WR,,10.5,,
Kevin Rader,TEN,TE,,3.3,,
Dalton Schultz,HOU,TE,128.5,80.9,12,127.0
Andrew Ogletree,IND,TE,326.0,7.3,55,369.0
T.J. Hockenson,MIN,TE,48.0,117.7,3,49.0
Nick Folk,TEN,K,,115.3,,
