"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Minnesota Vikings (MIN)","38","15","16","21","8","1","1","16","246.0","15.4","11.5%"
"2","New England Patriots (NE)","47","19","12","16","6","0","2","16","229.0","14.3","13.3%"
"3","Seattle Seahawks (SEA)","45","20","14","21","2","1","3","16","227.0","14.2","26.2%"
"4","Tennessee Titans (TEN)","40","22","12","15","2","0","0","16","222.0","13.9","3.5%"
"5","Detroit Lions (DET)","37","17","18","21","4","1","1","16","222.0","13.9","43.3%"
"6","New York Giants (NYG)","53","15","10","14","5","0","1","16","221.0","13.8","3.0%"
"7","Dallas Cowboys (DAL)","46","19","10","15","3","0","0","16","219.0","13.7","93.1%"
"8","Indianapolis Colts (IND)","28","22","15","19","2","2","1","16","217.0","13.6","24.8%"
"9","Chicago Bears (CHI)","41","16","17","21","1","1","6","16","214.0","13.4","31.5%"
"10","Pittsburgh Steelers (PIT)","36","11","14","21","2","0","1","16","208.0","13.0","76.5%"
"11","Green Bay Packers (GB)","36","19","9","10","4","0","2","16","207.0","12.9","26.0%"
"12","Tampa Bay Buccaneers (TB)","33","16","19","24","2","0","1","16","204.0","12.8","20.7%"
"13","Arizona Cardinals (ARI)","36","18","11","13","7","0","1","16","202.0","12.6","0.8%"
"14","Jacksonville Jaguars (JAC)","37","20","9","13","3","0","1","16","202.0","12.6","47.6%"
"15","Washington Commanders (WAS)","33","14","10","17","2","2","0","16","196.0","12.3","8.1%"
"16","New Orleans Saints (NO)","32","13","10","16","5","1","0","16","193.0","12.1","63.8%"
"17","Buffalo Bills (BUF)","26","18","12","11","3","2","2","16","188.0","11.8","62.7%"
"18","Carolina Panthers (CAR)","23","14","16","17","2","0","0","16","187.0","11.7","2.9%"
"19","Cincinnati Bengals (CIN)","22","19","15","13","3","1","1","16","185.0","11.6","49.0%"
"20","Denver Broncos (DEN)","33","14","15","18","2","1","1","16","179.0","11.2","34.5%"
"21","Kansas City Chiefs (KC)","37","14","8","14","1","1","0","16","178.0","11.1","77.1%"
"22","Houston Texans (HOU)","31","11","14","14","3","0","4","16","174.0","10.9","30.1%"
"23","Las Vegas Raiders (LV)","27","18","8","10","2","1","0","16","173.0","10.8","22.3%"
"24","Baltimore Ravens (BAL)","32","17","6","8","1","0","3","16","171.0","10.7","87.4%"
"25","Philadelphia Eagles (PHI)","37","11","8","10","2","0","0","16","163.0","10.2","50.9%"
"26","Atlanta Falcons (ATL)","25","16","11","13","1","0","0","16","163.0","10.2","16.6%"
"27","San Francisco 49ers (SF)","31","12","9","11","1","1","0","16","162.0","10.1","98.1%"
"28","Cleveland Browns (CLE)","28","17","10","9","1","1","3","16","161.0","10.1","94.2%"
"29","Miami Dolphins (MIA)","30","14","8","12","2","0","1","16","149.0","9.3","69.2%"
"30","New York Jets (NYJ)","29","15","6","9","1","0","3","16","145.0","9.1","82.8%"
"31","Los Angeles Chargers (LAC)","42","30","18","16","5","0","2","16","103.0","6.4","16.1%"
"32","Los Angeles Rams (LAR)","31","18","9","14","2","1","1","16","44.0","2.8","21.1%"
""
""