"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Stephen Gostkowski (FA)","21","24","87.5","45","0","0","0","0","0","46","46","16","46.0","2.9","0.1%"
"2","Nick Folk (TEN)","26","31","83.9","53","0","0","0","0","0","31","31","16","31.0","1.9","9.4%"
"3","Jeff Reed (FA)","11","12","91.7","49","0","0","0","0","0","27","27","8","27.0","3.4","0.0%"
"4","Adam Vinatieri (FA)","23","29","79.3","39","0","0","0","0","0","26","26","16","26.0","1.6","0.2%"
"5","Nate Kaeding (FA)","24","27","88.9","51","0","0","0","0","0","24","24","16","24.0","1.5","0.0%"
"6","Phil Dawson (FA)","26","30","86.7","51","0","0","0","0","0","24","25","16","24.0","1.5","0.1%"
"7","Olindo Mare (FA)","6","12","50.0","46","0","0","0","0","0","21","21","8","21.0","2.6","0.0%"
"8","Shayne Graham (FA)","31","34","91.2","48","0","0","0","0","0","20","20","16","20.0","1.3","0.0%"
"9","Mason Crosby (FA)","31","39","79.5","53","0","0","0","0","0","20","20","16","20.0","1.3","0.1%"
"10","Lawrence Tynes (FA)","23","27","85.2","48","0","0","0","0","0","20","22","16","20.0","1.3","0.0%"
"11","Jason Hanson (FA)","16","20","80.0","53","0","0","0","0","0","20","20","8","20.0","2.5","0.0%"
"12","Ryan Longwell (FA)","11","14","78.6","55","0","0","0","0","0","19","19","8","19.0","2.4","0.0%"
"13","Kris Brown (FA)","18","20","90.0","57","0","0","0","0","0","19","19","9","19.0","2.1","0.0%"
"14","Matt Bryant (FA)","28","33","84.8","49","0","0","0","0","0","17","17","16","17.0","1.1","1.1%"
"15","Jay Feely (FA)","21","23","91.3","53","0","0","0","0","0","17","17","16","17.0","1.1","0.0%"
"16","Josh Brown (FA)","28","34","82.4","54","0","0","0","0","0","17","17","16","17.0","1.1","0.0%"
"17","Neil Rackers (FA)","11","16","68.8","52","0","0","0","0","0","16","16","8","16.0","2.0","0.0%"
"18","John Carney (FA)","9","11","81.8","41","0","0","0","0","0","16","16","7","16.0","2.3","0.0%"
"19","Mike Nugent (FA)","29","36","80.6","50","0","0","0","0","0","16","16","16","16.0","1.0","1.0%"
"20","Sebastian Janikowski (FA)","23","32","71.9","54","0","0","0","0","0","16","16","16","16.0","1.0","20.0%"
"21","Robbie Gould (FA)","31","36","86.1","49","0","0","0","0","0","15","15","16","15.0","0.9","0.1%"
"22","Rob Bironas (FA)","35","39","89.7","56","0","0","0","0","0","15","15","16","15.0","0.9","0.0%"
"23","David Akers (FA)","24","32","75.0","53","0","0","0","0","0","15","15","16","15.0","0.9","0.0%"
"24","John Kasay (FA)","11","14","78.6","52","0","0","0","0","0","14","14","8","14.0","1.8","0.0%"
"25","Shaun Suisham (FA)","29","35","82.9","50","0","0","0","0","0","14","14","16","14.0","0.9","0.0%"
"26","Rian Lindell (FA)","24","27","88.9","52","0","0","0","0","0","13","13","16","13.0","0.8","0.0%"
"27","Jason Elam (FA)","12","16","75.0","49","0","0","0","0","0","12","12","8","12.0","1.5","0.0%"
"28","Dave Rayner (FA)","10","13","76.9","49","0","0","0","0","0","11","11","7","11.0","1.6","0.0%"
"29","Matt Stover (FA)","18","21","85.7","49","0","0","0","0","0","11","11","8","11.0","1.4","0.0%"
"30","Morten Andersen (FA)","14","17","82.4","47","0","0","0","0","0","9","9","6","9.0","1.5","0.0%"
"31","Joe Nedney (FA)","11","12","91.7","50","0","0","0","0","0","9","9","8","9.0","1.1","0.0%"
"32","Jeff Wilkins (FA)","14","20","70.0","53","0","0","0","0","0","7","7","8","7.0","0.9","0.0%"
"33","Josh Scobee (FA)","12","13","92.3","48","0","0","0","0","0","1","1","8","1.0","0.1","0.0%"
"34","Matt Prater (ARI)","1","4","25.0","45","0","0","0","0","0","1","1","4","1.0","0.3","1.7%"
"35","Allen Rossum (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"36","B.J. Sams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"37","Derrick Frost (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"38","J.R. Reed (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"39","Justin Medlock (FA)","1","2","50.0","27","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"40","Rhys Lloyd (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"41","Jason Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
""
""