"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rob Gronkowski (FA)","90","124","1,327","14.7","52","0","17","1","2","1","0","16","330.9","20.7","1.5%"
"2","Jimmy Graham (FA)","99","149","1,310","13.2","59","0","11","0","0","0","1","16","294.0","18.4","0.0%"
"3","Aaron Hernandez (FA)","79","113","910","11.5","46","0","7","5","45","0","1","14","214.5","15.3","0.0%"
"4","Tony Gonzalez (FA)","80","116","875","10.9","30","0","7","0","0","0","0","16","209.5","13.1","0.0%"
"5","Jason Witten (FA)","79","117","942","11.9","64","0","5","0","0","0","0","16","203.2","12.7","0.0%"
"6","Tim Tebow (FA)","0","0","0","0","0","0","0","122","660","6","6","14","199.3","14.2","0.5%"
"7","Brandon Pettigrew (FA)","83","126","777","9.4","27","0","5","0","0","0","0","16","190.7","11.9","0.0%"
"8","Antonio Gates (FA)","64","88","778","12.2","38","0","7","0","0","0","0","13","183.8","14.1","0.2%"
"9","Jermichael Finley (FA)","55","92","767","13.9","41","1","8","0","0","0","0","16","179.7","11.2","0.0%"
"10","Vernon Davis (FA)","67","95","792","11.8","44","0","6","2","-5","0","1","16","179.7","11.2","1.6%"
"11","Dustin Keller (FA)","65","115","815","12.5","41","0","5","0","0","0","1","16","174.5","10.9","0.0%"
"12","Brent Celek (FA)","62","97","811","13.1","73","0","5","0","0","0","0","16","173.1","10.8","0.0%"
"13","Kellen Winslow (FA)","75","121","763","10.2","37","0","2","0","0","0","1","16","165.3","10.3","0.0%"
"14","Fred Davis (FA)","59","88","796","13.5","42","0","3","0","0","0","1","12","154.6","12.9","0.0%"
"15","Jermaine Gresham (FA)","56","92","596","10.6","31","0","6","0","0","0","1","14","149.6","10.7","0.0%"
"16","Owen Daniels (FA)","54","85","677","12.5","34","0","3","0","0","0","0","15","139.7","9.3","0.0%"
"17","Jared Cook (FA)","49","81","759","15.5","80","0","3","0","0","0","2","16","138.9","8.7","0.0%"
"18","Ed Dickson (FA)","54","89","528","9.8","25","0","5","0","0","0","0","16","136.8","8.6","0.0%"
"19","Greg Olsen (FA)","45","89","540","12.0","44","0","5","0","0","0","1","16","129.0","8.1","7.0%"
"20","Heath Miller (FA)","51","75","631","12.4","39","0","2","1","6","0","1","16","124.7","7.8","0.0%"
"21","Jake Ballard (FA)","38","61","604","15.9","41","0","4","0","0","0","0","14","122.4","8.7","0.0%"
"22","Scott Chandler (FA)","38","46","389","10.2","31","0","6","0","0","0","1","14","110.9","7.9","0.0%"
"23","Anthony Fasano (FA)","32","54","451","14.1","35","0","5","0","0","0","0","15","107.1","7.1","0.1%"
"24","Jeremy Shockey (FA)","37","62","455","12.3","29","0","4","0","0","0","1","15","104.5","7.0","0.0%"
"25","Joel Dreessen (FA)","28","39","353","12.6","56","0","6","0","0","0","0","16","99.3","6.2","0.0%"
"26","Tony Scheffler (FA)","26","43","347","13.3","36","0","6","1","5","0","0","15","99.2","6.6","0.0%"
"27","Dennis Pitta (FA)","40","56","405","10.1","39","0","3","0","0","0","0","16","98.5","6.2","0.0%"
"28","Visanthe Shiancoe (FA)","36","71","409","11.4","37","0","3","0","0","0","0","16","94.9","5.9","0.0%"
"29","Evan Moore (FA)","34","47","324","9.5","33","0","4","0","0","0","0","15","90.4","6.0","0.0%"
"30","Benjamin Watson (FA)","37","71","410","11.1","34","0","2","0","0","0","0","13","90.0","6.9","2.8%"
"31","Marcedes Lewis (CHI)","39","85","460","11.8","62","1","0","0","0","0","0","15","85.0","5.7","0.1%"
"32","Kevin Boss (FA)","28","40","368","13.1","35","0","3","0","0","0","0","12","82.8","6.9","0.0%"
"33","Dallas Clark (FA)","34","65","352","10.4","21","0","2","0","0","0","1","11","79.2","7.2","0.0%"
"34","Jeff King (FA)","27","34","271","10.0","48","0","3","0","0","0","0","16","72.1","4.5","0.0%"
"35","Kyle Rudolph (FA)","26","39","249","9.6","41","0","3","0","0","0","0","15","68.9","4.6","0.0%"
"36","Kellen Davis (FA)","18","35","206","11.4","32","0","5","0","0","0","0","16","68.6","4.3","0.2%"
"37","Daniel Fells (FA)","19","31","256","13.5","32","0","3","0","0","0","1","16","60.6","3.8","0.0%"
"38","Lance Kendricks (FA)","28","59","352","12.6","45","0","0","1","-8","0","1","15","60.4","4.0","0.0%"
"39","Todd Heap (FA)","24","36","283","11.8","28","0","1","0","0","0","0","8","58.3","7.3","0.0%"
"40","Delanie Walker (FA)","19","35","198","10.4","29","0","3","3","5","0","0","15","57.3","3.8","0.1%"
"41","Charles Clay (FA)","16","25","233","14.6","46","0","3","0","0","0","0","14","57.3","4.1","0.0%"
"42","Randy McMichael (FA)","30","44","271","9.0","30","0","0","0","0","0","0","15","57.1","3.8","0.0%"
"43","Leonard Pope (FA)","24","34","247","10.3","39","0","1","0","0","0","0","15","54.7","3.6","0.0%"
"44","James Casey (FA)","18","24","260","14.4","62","0","1","1","11","0","0","14","51.1","3.7","0.0%"
"45","Zach Miller (FA)","25","44","233","9.3","28","0","0","0","0","0","0","15","48.3","3.2","0.0%"
"46","Jacob Tamme (FA)","19","31","177","9.3","29","0","1","0","0","0","0","16","42.7","2.7","0.0%"
"47","Clay Harbor (FA)","13","19","163","12.5","27","0","1","0","0","0","0","16","35.3","2.2","0.0%"
"48","Alex Smith (FA)","14","25","131","9.4","20","0","1","0","0","0","0","14","33.1","2.4","0.0%"
"49","Craig Stevens (FA)","9","14","166","18.4","58","0","1","0","0","0","0","15","31.6","2.1","0.0%"
"50","Martellus Bennett (FA)","17","26","144","8.5","15","0","0","0","0","0","0","14","31.4","2.2","23.0%"
"51","John Phillips (FA)","15","18","101","6.7","12","0","1","0","0","0","0","16","31.1","1.9","0.0%"
"52","Brandon Myers (FA)","16","27","151","9.4","24","0","0","0","0","0","0","16","31.1","1.9","0.0%"
"53","Anthony McCoy (FA)","13","24","146","11.2","31","0","0","0","0","0","0","16","27.6","1.7","0.0%"
"54","David Johnson (FA)","12","14","91","7.6","25","0","1","0","0","0","0","16","27.1","1.7","0.0%"
"55","Bruce Miller (FA)","11","15","83","7.5","30","0","1","4","8","0","0","15","26.1","1.7","0.0%"
"56","Bear Pascoe (FA)","12","16","136","11.3","22","0","0","0","0","0","0","16","25.6","1.6","0.0%"
"57","Logan Paulsen (FA)","11","19","138","12.5","24","0","0","0","0","0","0","16","24.8","1.6","0.0%"
"58","Matt Spaeth (FA)","7","11","50","7.1","13","0","2","0","0","0","0","15","24.0","1.6","0.0%"
"59","Rob Housler (FA)","12","26","133","11.1","21","0","0","0","0","0","1","12","23.3","1.9","0.0%"
"60","Michael Palmer (FA)","10","16","72","7.2","11","0","1","0","0","0","0","16","23.2","1.5","0.0%"
"61","Donald Lee (FA)","11","13","115","10.5","26","0","0","0","0","0","0","6","22.5","3.8","0.0%"
"62","Luke Stocker (FA)","12","17","92","7.7","24","0","0","0","0","0","0","14","21.2","1.5","0.0%"
"63","Travis Beckum (FA)","5","10","93","18.6","67","0","1","0","0","0","0","7","20.3","2.9","0.0%"
"64","Dante Rosario (FA)","7","11","117","16.7","32","0","0","0","0","0","0","16","18.7","1.2","0.0%"
"65","Billy Bajema (FA)","9","14","71","7.9","19","0","0","0","0","0","0","16","16.1","1.0","0.0%"
"66","Tom Crabtree (FA)","6","8","38","6.3","15","0","1","0","0","0","0","16","15.8","1.0","0.0%"
"67","Colin Cochart (FA)","5","9","44","8.8","25","0","1","0","0","0","0","10","15.4","1.5","0.0%"
"68","Michael Hoomanawanui (FA)","7","13","83","11.9","27","0","0","0","0","0","0","8","15.3","1.9","0.1%"
"69","Chris Cooley (FA)","8","13","65","8.1","17","0","0","2","3","0","0","5","14.8","3.0","0.0%"
"70","Zach Miller (FA)","4","7","42","10.5","14","0","1","0","0","0","0","4","14.2","3.6","0.0%"
"71","Brody Eldridge (FA)","9","10","45","5.0","8","0","0","0","0","0","0","13","13.5","1.0","0.0%"
"72","Cameron Morrah (FA)","6","13","74","12.3","21","0","0","1","1","0","0","9","13.5","1.5","0.0%"
"73","Weslye Saunders (FA)","4","8","29","7.3","14","0","1","0","0","0","0","16","12.9","0.8","0.0%"
"74","Jake O'Connell (FA)","7","12","52","7.4","15","0","0","0","0","0","0","7","12.2","1.7","0.0%"
"75","Josh Baker (FA)","3","4","27","9.0","17","0","1","0","0","0","0","8","11.7","1.5","0.0%"
"76","Richie Brockel (FA)","3","3","13","4.3","5","0","0","3","12","1","0","11","11.5","1.0","0.0%"
"77","John Gilmore (FA)","3","6","20","6.7","9","0","1","0","0","0","0","7","11.0","1.6","0.0%"
"78","Matthew Mulligan (FA)","5","9","58","11.6","41","0","0","0","0","0","0","16","10.8","0.7","0.0%"
"79","Daniel Graham (FA)","2","5","25","12.5","21","0","1","0","0","0","0","8","10.5","1.3","0.0%"
"80","Will Heller (FA)","6","13","42","7.0","12","0","0","0","0","0","0","16","10.2","0.6","0.0%"
"81","Zach Potter (FA)","5","7","50","10.0","22","0","0","0","0","0","0","15","10.0","0.7","0.0%"
"82","Colin Cloherty (FA)","4","8","57","14.3","21","0","0","0","0","0","0","4","9.7","2.4","0.0%"
"83","Jordan Cameron (FA)","6","13","33","5.5","15","0","0","0","0","0","0","8","9.3","1.2","0.1%"
"84","Mike Caussin (FA)","5","6","41","8.2","13","0","0","0","0","0","0","6","9.1","1.5","0.0%"
"85","Zack Pianalto (FA)","4","5","40","10.0","15","0","0","0","0","0","0","13","8.0","0.6","0.0%"
"86","Ryan Taylor (FA)","1","1","4","4.0","4","0","1","0","0","0","0","15","7.4","0.5","0.0%"
"87","Andrew Quarless (FA)","3","4","36","12.0","21","0","0","0","0","0","0","10","6.6","0.7","0.0%"
"88","David Thomas (FA)","5","9","16","3.2","8","0","0","0","0","0","0","5","6.6","1.3","0.0%"
"89","Anthony Becht (FA)","3","4","26","8.7","16","0","0","0","0","0","0","4","5.6","1.4","0.0%"
"90","Jeff Cumberland (FA)","2","5","35","17.5","33","0","0","0","0","0","0","3","5.5","1.8","0.0%"
"91","Virgil Green (FA)","3","5","24","8.0","9","0","0","0","0","0","0","15","5.4","0.4","0.0%"
"92","Niles Paul (FA)","2","5","25","12.5","14","0","0","1","7","0","0","13","5.2","0.4","0.0%"
"93","Lee Smith (FA)","4","4","11","2.8","6","0","0","0","0","0","0","10","5.1","0.5","0.0%"
"94","Adrian Arrington (FA)","2","3","31","15.5","17","0","0","0","0","0","0","2","5.1","2.6","0.0%"
"95","Kevin Brock (FA)","2","2","27","13.5","21","0","0","0","0","0","0","2","4.7","2.4","0.0%"
"96","Jim Dray (FA)","2","5","25","12.5","20","0","0","0","0","0","0","10","4.5","0.5","0.0%"
"97","Kory Sperry (FA)","1","5","32","32.0","32","0","0","0","0","0","0","16","4.2","0.3","0.0%"
"98","Garrett Graham (FA)","1","2","24","24.0","24","0","0","0","0","0","0","7","3.4","0.5","0.0%"
"99","D.J. Williams (FA)","2","4","13","6.5","7","0","0","0","0","0","0","13","3.3","0.3","0.0%"
"100","David Ausberry (FA)","2","2","14","7.0","10","0","0","1","-2","0","0","12","3.2","0.3","0.0%"
"101","Anthony Hill (FA)","2","3","10","5.0","5","0","0","0","0","0","0","2","3.0","1.5","0.0%"
"102","Justin Peelle (FA)","1","4","19","19.0","19","0","0","0","0","0","0","5","2.9","0.6","0.0%"
"103","Mike Sellers (FA)","1","2","15","15.0","15","0","0","0","0","0","0","6","2.5","0.4","0.0%"
"104","Stephen Spach (FA)","2","3","2","1.0","3","0","0","0","0","0","0","3","2.2","0.7","0.0%"
"105","Maurice Stovall (FA)","1","3","8","8.0","8","0","0","0","0","0","0","7","1.8","0.3","0.0%"
"106","Jeron Mastrud (FA)","1","2","8","8.0","8","0","0","0","0","0","0","14","1.8","0.1","0.0%"
"107","Reggie Kelly (FA)","1","2","7","7.0","7","0","0","0","0","0","0","4","1.7","0.4","0.0%"
"108","Allen Reisner (FA)","1","1","5","5.0","5","0","0","0","0","0","0","6","1.5","0.3","0.0%"
"109","Julius Thomas (FA)","1","7","5","5.0","5","0","0","0","0","0","0","5","1.5","0.3","0.0%"
"110","Mike Higgins (FA)","1","1","4","4.0","4","0","0","0","0","0","0","2","1.4","0.7","0.0%"
"111","Jimmy Kleinsasser (FA)","1","6","4","4.0","4","0","0","0","0","0","0","8","1.4","0.2","0.0%"
"112","Richard Gordon (FA)","1","1","2","2.0","2","0","0","0","0","0","0","14","1.2","0.1","0.0%"
"113","Steve Maneri (FA)","1","2","1","1.0","1","0","0","0","0","0","0","6","1.1","0.2","0.0%"
"114","Jameson Konz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Mason Brodine (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"116","Alex Silvestro (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"117","Kris Wilson (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"118","Martin Rucker (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Mike Leach (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"120","Richard Quinn (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Fendi Onobun (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","John Beck (FA)","0","0","0","0","0","0","0","10","43","2","1","4","0.0","0.0","0.0%"
"123","Dominique Byrd (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Dan Gronkowski (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"125","Ben Hartsock (FA)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"126","Brian Jennings (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"127","Clark Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"128","Mike McNeill (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"129","Kyle Adams (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"130","Collin Franklin (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""